ext,count
png,2331
css,1458
ico,800
html,753
jpg,257
js,250
txt,192
gif,184
xhtml,153
jar,90
ttf,86
pdf,55
xml,37
py,29
log,24
svg,22
xsl,15
conf,14
exe,13
php,12
c,10
gz,6
sh,6
jpeg,4
1,4
tex,4
deb,4
access,4
spec,3
swf,3
patch,2
3,2
rb,2
pyc,2
lua,2
doc,2
woff,1
mk,1
xs,1
threads,1
gem,1
markdown,1
pcap,1
m4,1
Jan05,1
vim,1
cpp,1
diff,1
java,1
